Id;Imie;Nazwisko;Rok_urodzenia;Wzrost;Narodowosc
1;Stefan;Kraft;1993;170;Austria
2;Ryoyu;Kobayashi;1996;173;Japonia
3;Andreas;Wellinger;1995;184;Niemcy
4;Jan;Hoerl;1998;185;Austria
5;Peter;Prevc;1992;184;Słowenia
6;Michael;Hayboeck;1991;185;Austria
7;Johann Andre;Forfang;1995;184;Norwegia
8;Marius;Lindvik;1998;184;Norwegia
9;Lovro;Kos;1999;180;Słowenia
10;Pius;Paschke;1990;182;Niemcy
11;Daniel;Tschofenig;2002;179;Austria
12;Manuel;Fettner;1985;182;Austria
13;Domen;Prevc;1999;174;Słowenia
14;Anze;Lanisek;1996;178;Słowenia
15;Daniel;Huber;1993;183;Austria
16;Timi;Zajc;2000;175;Słowenia
17;Karl;Geiger;1993;184;Niemcy
18;Gregor;Deschwanden;1991;185;Szwajcaria
19;Aleksander;Zniszczoł;1994;179;Polska
20;Philipp;Raimund;2000;179;Niemcy
21;Kristoffer Eriksen;Sundal;2001;178;Norwegia
22;Ren;Nikaido;1999;176;Japonia
23;Stephan;Leyhe;1992;184;Niemcy
24;Halvor Egner;Granerud;1996;185;Norwegia
25;Piotr;Żyła;1987;176;Polska
26;Kamil;Stoch;1987;173;Polska
27;Alex;Insam;1997;180;Włochy
28;Dawid;Kubacki;1990;180;Polska
29;Robert;Johansson;1990;184;Norwegia
30;Niko;Kytosaho;1999;184;Finlandia
31;Giovanni;Bresadola;2001;177;Włochy
32;Clemens;Aigner;1993;188;Austria
33;Roman;Koudelka;1989;175;Czechy
34;Junshiro;Kobayashi;1991;173;Japonia
35;Erik;Belshaw;2002;172;USA
36;Benjamin;Oestvold;2001;183;Norwegia
37;Vladimir;Zografski;1993;171;Bułgaria
38;Daniel Andre;Tande;1994;184;Norwegia
39;Stephan;Embacher;2000;178;Austria
40;Antti;Aalto;1995;183;Finlandia
41;Killian;Peier;1995;183;Szwajcaria
42;Tate;Frantz;2002;172;USA
43;Artti;Aigro;1999;180;Estonia
44;Martin;Hamann;1997;181;Niemcy
45;Yevhen;Marusiak;2000;175;Ukraina
46;Felix;Hoffmann;1997;183;Niemcy
47;Sindre Ulven;Joergensen;1999;178;Norwegia
48;Paweł;Wąsek;1999;184;Polska
49;Constantin;Schmid;1999;183;Niemcy
50;Remo;Imhof;1999;175;Szwajcaria
51;Zak;Mogel;2002;173;Słowenia
52;Simon;Ammann;1981;172;Szwajcaria
53;Eetu;Nousiainen;1997;182;Finlandia
54;Robin;Pedersen;1996;185;Norwegia
55;Maciej;Kot;1991;178;Polska
56;Naoki;Nakamura;1996;174;Japonia
57;Kasperi;Valto;1997;180;Finlandia
58;Maksim;Bartolj;2002;179;Słowenia
59;Noriaki;Kasai;1972;172;Japonia
60;Fredrik;Villumstad;1999;180;Norwegia
61;Valentin;Foubert;2001;177;Francja
62;Ziga;Jelar;1997;183;Słowenia
63;Andrew;Urlaub;2000;180;USA
64;Keiichi;Sato;1997;172;Japonia
65;Fatih Arda;Ipcioglu;1997;178;Turcja
66;Andrea;Campregher;2003;175;Włochy
67;Taku;Takeuchi;1987;171;Japonia
68;Markus;Eisenbichler;1991;175;Niemcy
69;Danil;Vassilyev;2004;175;Kazachstan
70;Yanick;Wasser;2004;185;Szwajcaria
71;Tomofumi;Naito;1993;170;Japonia
72;Muhammet Ali;Bedir;2000;176;Turcja
73;Francesco;Cecon;2001;174;Włochy
74;Vitaliy;Kalinichenko;1993;175;Ukraina
75;Bendik Jakobsen;Heggli;2001;180;Norwegia
76;Svyatoslav;Nazarenko;2004;178;Kazachstan
77;Andrzej;Stękała;1995;178;Polska
78;Mico;Ahonen;2001;185;Finlandia
79;Vilho;Palosaari;2004;166;Finlandia
80;Decker;Dean;2000;170;USA
